Transform,Detail,Approximate,Metric,Value
1,1,,1,0.26032
1,1,,2,0.49156
1,1,,3,0.50195
1,1,,4,0.0039468
1,1,,5,0.80999
1,1,,6,0.002603
1,1,,7,0.1996
1,1,,8,0.002433
1,2,,1,0.23139
1,2,,2,0.60899
1,2,,3,0.44452
1,2,,4,0.0034604
1,2,,5,0.8084
1,2,,6,0.0042421
1,2,,7,0.1525
1,2,,8,0.002503
1,3,,1,0.27251
1,3,,2,0.31924
1,3,,3,0.42154
1,3,,4,0.0035168
1,3,,5,0.81066
1,3,,6,0.0028388
1,3,,7,0.11064
1,3,,8,0.002363
1,4,,1,0.60269
1,4,,2,0.43248
1,4,,3,0.69534
1,4,,4,0.0049536
1,4,,5,0.86504
1,4,,6,0.0027079
1,4,,7,0.76786
1,4,,8,0.0024407
1,5,,1,0.23683
1,5,,2,0.57966
1,5,,3,0.39698
1,5,,4,0.0033541
1,5,,5,0.80853
1,5,,6,0.0044894
1,5,,7,0.1148
1,5,,8,0.0024329
1,6,,1,0.27611
1,6,,2,0.41147
1,6,,3,0.51846
1,6,,4,0.0038828
1,6,,5,0.81126
1,6,,6,0.0028536
1,6,,7,0.29064
1,6,,8,0.0024364
1,7,,1,0.23873
1,7,,2,0.62212
1,7,,3,0.4532
1,7,,4,0.0037294
1,7,,5,0.80855
1,7,,6,0.0031263
1,7,,7,0.14098
1,7,,8,0.0024325
1,1,,1,0.17077
1,1,,2,0.65717
1,1,,3,0.44406
1,1,,4,0.0038497
1,1,,5,0.80483
1,1,,6,0.0024984
1,1,,7,0.1835
1,1,,8,0.0012886
1,2,,1,0.145
1,2,,2,0.67121
1,2,,3,0.39094
1,2,,4,0.0036902
1,2,,5,0.80414
1,2,,6,0.0043245
1,2,,7,0.17669
1,2,,8,0.0013381
1,3,,1,0.14628
1,3,,2,0.26234
1,3,,3,0.38492
1,3,,4,0.0029373
1,3,,5,0.80418
1,3,,6,0.0021544
1,3,,7,0.063004
1,3,,8,0.0012399
1,4,,1,0.55645
1,4,,2,0.41861
1,4,,3,0.74987
1,4,,4,0.0051838
1,4,,5,0.85945
1,4,,6,0.0033403
1,4,,7,0.47301
1,4,,8,0.0012961
1,5,,1,0.12729
1,5,,2,0.66848
1,5,,3,0.35569
1,5,,4,0.0031116
1,5,,5,0.80363
1,5,,6,0.0038422
1,5,,7,0.10393
1,5,,8,0.0012894
1,6,,1,0.16298
1,6,,2,0.6329
1,6,,3,0.47772
1,6,,4,0.0037494
1,6,,5,0.80476
