,Gradient based,,,multiscale,,,MI,,,nonlinear,,,phase congruency,,,piella's,,,spatial frequency,,,tsallis,,
,names,estimates,pvalues,names,estimates,pvalues,names,estimates,pvalues,names,estimates,pvalues,names,estimates,pvalues,names,estimates,pvalues,names,estimates,pvalues,names,estimates,pvalues
20,DU - Ran,0.0002690457,0,DU - Ran,0.0019574286,0,DU - Ran,0.0677725714,0,DU - Ran,0.0313357143,0,DU - Ran,0.0650222857,0,DU - Ran,6.77E-06,,DU - Ran,-2.77E-05,0,DU - Ran,0.0007934286,0.6345954911
21,DU - UD,5.38E-05,0,DU - UD,0.0005651429,0,DU - UD,0.0211431429,0,DU - UD,0.0126025714,0,DU - UD,0.023488,0,DU - UD,3.34E-05,0,DU - UD,-6.29E-06,0,DU - UD,-0.0072634286,0
,,,,,,,,,,,,,,,,,,,,,,,,
,i,j,k,,,,,,,,,,,,,,,,,,,,,
Mapped #,Transforms,Fusion,Metrics,,,,,,,,,,,,,,,,,,,,,
1,bandelet,mean,mutual information,,,,,,,,,,,,,,,,,,,,,
2,contourlet,max,Tsallis,,,,,,,,,,,,,,,,,,,,,
3,curvelet,min ,Nonlinear,,,,,,,,,,,,,,,,,,,,,
4,DD DWT,linear,grad-based,,,,,,,,,,,,,,,,,,,,,
5,DT DWT,random,multi-scale,,,,,,,,,,,,,,,,,,,,,
6,DWT,up-down,spatial frequency,,,,,,,,,,,,,,,,,,,,,
7,,down-up,phase congruency ,,,,,,,,,,,,,,,,,,,,,
8,,,Piella's metric,,,,,,,,,,,,,,,,,,,,,
